time,roll,pitch,roll_error,pitch_error,roll_vel,pitch_vel,state_vector,control_roll,control_pitch,control_magnitude,raw_control_roll,raw_control_pitch,inertia_roll,inertia_pitch,dt
127.89,-0.0009892992572411961,0.005337789331011264,0.0009892992572411961,-0.005337789331011264,0.009892992572411961,-0.05337789331011265,"0.0009892992572411961,0.009892992572411961,-0.005337789331011264,-0.05337789331011265",5.65051193289527e-05,-0.0003652363677740998,0.00036958142926180244,0.00018835039776317567,-0.0012174545592469994,0.00058474,0.00029699,0.02
127.907,-0.0009892992572411961,0.005337789331011264,0.0009892992572411961,-0.005337789331011264,0.007914394057929569,-0.04270231464809012,"0.0009892992572411961,0.007914394057929569,-0.005337789331011264,-0.04270231464809012",8.342947891525941e-05,-0.0005438110607270277,0.0005501735614523173,0.00014625298461664175,-0.0009604853442838597,0.00058474,0.00029699,0.017
127.923,-0.0009892992572411961,0.005337789331011264,0.0009892992572411961,-0.005337789331011264,0.006331515246343656,-0.0341618517184721,"0.0009892992572411961,0.006331515246343656,-0.005337789331011264,-0.0341618517184721",9.217315147050596e-05,-0.0006071407342029238,0.0006140975174843734,0.00011257505409941463,-0.000754909972313348,0.00058474,0.00029699,0.016
127.94,-0.000700863718421757,0.003046835563981745,0.000700863718421757,-0.003046835563981745,0.0016718529168462302,-0.00037708411560687105,"0.000700863718421757,0.0016718529168462302,-0.003046835563981745,-0.00037708411560687105",7.048771835909884e-05,-0.00041618130411778754,0.00042210827560787526,1.988837443248226e-05,2.9390699414196963e-05,0.00058474,0.00029699,0.017
127.957,-0.000700863718421757,0.003046835563981745,0.000700863718421757,-0.003046835563981745,0.0013374823334769842,-0.00030166729248549685,"0.000700863718421757,0.0013374823334769842,-0.003046835563981745,-0.00030166729248549685",5.317365653958875e-05,-0.000281965101146313,0.000286935107671126,1.277417896073186e-05,3.1206039120460905e-05,0.00058474,0.00029699,0.017
127.973,-0.000700863718421757,0.003046835563981745,0.000700863718421757,-0.003046835563981745,0.0010699858667815873,-0.00024133383398839748,"0.000700863718421757,0.0010699858667815873,-0.003046835563981745,-0.00024133383398839748",3.934640635271158e-05,-0.0001875780775367775,0.00019166031113735052,7.082822583331538e-06,3.265831088547205e-05,0.00058474,0.00029699,0.016
127.99,-0.000700863718421757,0.003046835563981745,0.000700863718421757,-0.003046835563981745,0.0008559886934252699,-0.000193067067190718,"0.000700863718421757,0.0008559886934252699,-0.003046835563981745,-0.000193067067190718",2.8301405691321488e-05,-0.00012115861578649995,0.00012442017418170365,2.529737481411279e-06,3.382012829748097e-05,0.00058474,0.00029699,0.017
128.007,-0.0005103909056333215,0.002899477880655878,0.0005103909056333215,-0.002899477880655878,-0.0015560656663002018,0.0015791661500811512,"0.0005103909056333215,-0.0015560656663002018,-0.002899477880655878,0.0015791661500811512",6.452582071994093e-06,-6.242542942914501e-05,6.275802781165916e-05,-4.4528006373103154e-05,7.461867207134982e-05,0.00058474,0.00029699,0.017
128.023,-0.0005103909056333215,0.002899477880655878,0.0005103909056333215,-0.002899477880655878,-0.0012448525330401616,0.001263332920064921,"0.0005103909056333215,-0.0012448525330401616,-0.002899477880655878,0.001263332920064921",-6.855147830005706e-06,-2.3592902060655106e-05,2.4568640162102906e-05,-3.790651760133857e-05,6.701632846582132e-05,0.00058474,0.00029699,0.016
128.04,-0.0005103909056333215,0.002899477880655878,0.0005103909056333215,-0.002899477880655878,-0.0009958820264321293,0.0010106663360519368,"0.0005103909056333215,-0.0009958820264321293,-0.002899477880655878,0.0010106663360519368",-1.4581401456182067e-05,1.765304631960988e-06,1.4687871488747832e-05,-3.260932658392691e-05,6.093445358139854e-05,0.00058474,0.00029699,0.017
