time,roll,pitch,roll_error,pitch_error,roll_P,roll_I,roll_D,pitch_P,pitch_I,pitch_D,roll_output,pitch_output,total_output_mag
5.584,-0.0017802081652450294,-0.011925214703995586,0.0017802081652450294,0.011925214703995586,0.0002670312247867544,0.0001988136478945649,6.376103743714289e-07,0.0017887822055993377,0.001331807978142227,4.271208704869479e-06,0.00046648248305569077,0.0031248613924464343,0.003159488032735695
5.6,-0.0017802081652450294,-0.011925214703995586,0.0017802081652450294,0.011925214703995586,0.0002670312247867544,0.0001993833145074433,0.0,0.0017887822055993377,0.0013356240468475054,0.0,0.0004664145392941977,0.003124406252446843,0.003159027849322311
5.617,-0.0001720726098097574,-0.009321961787123089,0.0001720726098097574,0.009321961787123089,2.581089147146361e-05,0.00019944181919477865,-0.00018919241828650258,0.0013982942680684633,0.001338793513855127,-0.0003062650490438231,3.60602923797397e-05,0.002430822732879767,0.0024310901882430382
5.634,-0.0001720726098097574,-0.009321961787123089,0.0001720726098097574,0.009321961787123089,2.581089147146361e-05,0.00019950032388211397,0.0,0.0013982942680684633,0.001341962980862749,0.0,0.0002253112153535776,0.0027402572489312123,0.0027495044888277893
5.65,-0.0001720726098097574,-0.009321961787123089,0.0001720726098097574,0.009321961787123089,2.581089147146361e-05,0.0001995553871172531,0.0,0.0013982942680684633,0.0013449460086346282,0.0,0.00022536627858871672,0.0027432402767030915,0.0027524820027115494
5.667,-0.0001720726098097574,-0.009321961787123089,0.0001720726098097574,0.009321961787123089,2.581089147146361e-05,0.00019961389180458842,0.0,0.0013982942680684633,0.00134811547564225,0.0,0.00022542478327605204,0.0027464097437107132,0.002755645625486739
5.684,0.00046532084703915976,0.0006500774980730608,-0.00046532084703915976,-0.0006500774980730608,-6.979812705587396e-05,0.0001994556827165951,-7.498746551163731e-05,-9.75116247109591e-05,0.0013478944492929053,-0.0011731810923760176,5.4670090149083826e-05,7.720173220592853e-05,9.459876432863622e-05
5.7,0.00046532084703915976,0.0006500774980730608,-0.00046532084703915976,-0.0006500774980730608,-6.979812705587396e-05,0.00019930678004554257,0.0,-9.75116247109591e-05,0.001347686424493522,0.0,0.0001295086529896686,0.0012501747997825628,0.0012568649574280324
5.731,0.00046532084703915976,0.0006500774980730608,-0.00046532084703915976,-0.0006500774980730608,-6.979812705587396e-05,0.0001990182811203783,0.0,-9.75116247109591e-05,0.0013472833764447164,0.0,0.00012922015406450436,0.0012497717517337573,0.0012564343515075185
5.734,0.00046532084703915976,0.0006500774980730608,-0.00046532084703915976,-0.0006500774980730608,-6.979812705587396e-05,0.00019899036186955596,0.0,-9.75116247109591e-05,0.0013472443717948322,0.0,0.00012919223481368199,0.001249732747083873,0.0012563926825121027
5.75,0.00046532084703915976,0.0006500774980730608,-0.00046532084703915976,-0.0006500774980730608,-6.979812705587396e-05,0.00019884145919850342,0.0,-9.75116247109591e-05,0.0013470363469954489,0.0,0.00012904333214262944,0.0012495247222844897,0.001256170455460008
5.767,0.0031347694129868434,0.007784498988479619,-0.0031347694129868434,-0.007784498988479619,-0.0004702154119480265,0.00019777563759808788,-0.00031405277246443334,-0.0011676748482719428,0.0013443896173393657,-0.0008393437047537127,-0.000586492546814372,-0.0006626289356862898,0.0008849014712822854
5.784,0.0031347694129868434,0.007784498988479619,-0.0031347694129868434,-0.007784498988479619,-0.0004702154119480265,0.00019670981599767234,0.0,-0.0011676748482719428,0.0013417428876832827,0.0,-0.0002735055959503541,0.00017406803941133996,0.00032419900271386733
5.8,0.0031347694129868434,0.007784498988479619,-0.0031347694129868434,-0.007784498988479619,-0.0004702154119480265,0.00019570668978551652,0.0,-0.0011676748482719428,0.0013392518480069694,0.0,-0.00027450872216250994,0.00017157699973502664,0.00032371855890783805
5.817,0.0031347694129868434,0.007784498988479619,-0.0031347694129868434,-0.007784498988479619,-0.0004702154119480265,0.00019464086818510098,0.0,-0.0011676748482719428,0.0013366051183508862,0.0,-0.00027557454376292553,0.00016893027007894345,0.0003232317517186227
5.834,-0.0008774942561733087,0.017203284290232657,0.0008774942561733087,-0.017203284290232657,0.0001316241384259963,0.0001949392162321999,0.00047203101990119433,-0.0025804926435348983,0.0013307560016922071,-0.001108092388441534,0.0007985943745593906,-0.0023578290302842253,0.0024893996688215726
5.85,-0.0008774942561733087,0.017203284290232657,0.0008774942561733087,-0.017203284290232657,0.0001316241384259963,0.00019522001439417538,0.0,-0.0025804926435348983,0.0013252509507193327,0.0,0.0003268441528201717,-0.0012552416928155656,0.0012970962985126518
5.867,-0.0008774942561733087,0.017203284290232657,0.0008774942561733087,-0.017203284290232657,0.0001316241384259963,0.0001955183624412743,0.0,-0.0025804926435348983,0.0013194018340606537,0.0,0.0003271425008672706,-0.0012610908094742447,0.0013028323935234715
5.884,-0.0008774942561733087,0.017203284290232657,0.0008774942561733087,-0.017203284290232657,0.0001316241384259963,0.0001958167104883732,0.0,-0.0025804926435348983,0.0013135527174019746,0.0,0.0003274408489143695,-0.0012669399261329237,0.0013085695571758732
5.9,-0.036065340787309344,0.04697416062538475,0.036065340787309344,-0.04697416062538475,0.005409801118096401,0.0002073576195403122,0.004398480816392004,-0.007046124093807712,0.0012985209860018516,-0.003721359541894012,0.010015639554028719,-0.009468962649699873,0.013783116096791604
5.917,-0.036065340787309344,0.04697416062538475,0.036065340787309344,-0.04697416062538475,0.005409801118096401,0.0002196198354079974,0.0,-0.007046124093807712,0.0012825497713892205,0.0,0.005629420953504398,-0.005763574322418492,0.008056622694516366
